直播中国,#genre#
甘肃定西漳县贵清山植物园,https://gcalic.v.myalicdn.com/gc/lsdfgfl_1/index.m3u8
黑龙江萝北县嘟噜河省级自然保护区,https://gcalic.v.myalicdn.com/gc/taishan03_1/index.m3u8
河北秦皇岛金梦海湾,https://gcalic.v.myalicdn.com/gc/zjwzblt_1/index.m3u8
河北秦皇岛老龙头景区,https://gcalic.v.myalicdn.com/gc/zjwzbblh_1/index.m3u8
河北沧州南川老街,https://gcalic.v.myalicdn.com/gc/lpsgmjng01_1/index.m3u8
河北邯郸京娘湖京娘湖 视角1,https://gcalic.v.myalicdn.com/gc/zjjsrsm_1/index.m3u8
河北邯郸京娘湖京娘湖 视角2,https://gcalic.v.myalicdn.com/gc/xjtcdhsz_1/index.m3u8
河北塞罕坝国家级自然保护区塞罕坝视角1,https://gcalic.v.myalicdn.com/gc/hssxf_1/index.m3u8
河北塞罕坝国家级自然保护区塞罕坝视角2,https://gcalic.v.myalicdn.com/gc/gllj01_1/index.m3u8
吉林市朱雀山,https://gcalic.v.myalicdn.com/gc/hsxksqj_1/index.m3u8
吉林市北山公园,https://gcalic.v.myalicdn.com/gc/hkylxs03_1/index.m3u8
广东深圳福田红树林,https://gcalic.v.myalicdn.com/gc/djyqyl1_1/index.m3u8
萨拉乌苏考古遗址公园,https://gcalic.v.myalicdn.com/gc/taishan06_1/index.m3u8
陕西咸阳乾县乾陵景区,https://gcalic.v.myalicdn.com/gc/taishan02_1/index.m3u8
西藏林芝南迦巴瓦星空,https://gcalic.v.myalicdn.com/gc/jhs05_1/index.m3u8
湖南邵阳崀山风景名胜区,https://gcalic.v.myalicdn.com/gc/hkts02_1/index.m3u8
河南焦作红石峡,https://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8
云南保山新寨咖啡文旅庄园,https://gcalic.v.myalicdn.com/gc/gccntv241-slf01_1/index.m3u8
西藏林芝米林岷山彩门民宿,https://gcalic.v.myalicdn.com/gc/hkylxs06_1/index.m3u8
湖南长沙果园镇田汉文化园,https://gcalic.v.myalicdn.com/gc/zsslstpt_1/index.m3u8
重庆巫山长江画卷,https://gcalic.v.myalicdn.com/gc/ljgcwglytylxs_1/index.m3u8
西藏林芝岷山错高民宿,https://gcalic.v.myalicdn.com/gc/zjjybf_1/index.m3u8
云南云县漫湾镇昔宜小镇,https://gcalic.v.myalicdn.com/gc/hlwxt_1/index.m3u8
浙江舟山嵊泗县中心渔港,https://gcalic.v.myalicdn.com/gc/emsyh_1/index.m3u8
云南比顿咖啡产业文化园,https://gcalic.v.myalicdn.com/gc/zyqcdx01_1/index.m3u8
云南保山板桥镇青龙街,https://gcalic.v.myalicdn.com/gc/ylxs12_1/index.m3u8
云南德宏勐焕大金塔,https://gcalic.v.myalicdn.com/gc/dhyyqsm_1/index.m3u8
